Handle,Title,10K Weight (g),14K Weight (g),18K Weight (g),Diamond Shapes,Total Diamonds,Diamond Weight (each),Total Diamond Weight,Size,Dimensions,10K Price,14K Price,18K Price,Diamond Price,Gold Price (14K),Making Charge,GST,Total Price (14K)
"the-pave-crossover-band","The Pave Crossover Band",3.04,3.4,4,"round, round, round, round","12, 12, 8, 1","0.006, 0.008, 0.012, 0.07","0.072,0.096, 0.096,0.07ct","14","1.1, 1.2, 1.4, 2.6",34142,44450,59184,12516,26473,4165,1295,44450
"the-bloom-solstice-ring","The Bloom Solstice Ring",1.444,1.615,1.9,"round, round, round","22, 1, 8","0.008, 0.05, 0.01","0.176,0.05,0.08ct","14","1.2,2.3,1.3",22399,27372,34500,11315,12575,2685,797,27372
"the-sovereign-horizon-ring","The Sovereign Horizon Ring",1.6112,1.802,2.12,"EMERALD, round, round","1, 22, 14","0.85, 0.005, 0.008","0.85,0.11,0.112ct","13.75","6.5*5,1,1.2",42311,47860,54857,29439,14031,2996,1394,47860
"th-heirloom-halo-band","The Heirloom Halo Band",2.28,2.25,3,"round, round, round, round, round",,,,"15","6.8,1,1.1,1.3,1.2mm",16814,21759,35595,850,17519,2756,634,21759
"the-grand-classic-ring","The Grand Classic Ring",1.824,2.04,2.4,"round","1","1.17","1.17ct","5","6.8",47588,52950,61791,33025,15884,2499,1542,52950
"the-aurora-oval-cluster-ring","The Aurora Oval Cluster Ring",2.128,2.38,2.8,"OVAL, round, round","1, 21, 22","1.1, 0.005.0.008","1.1,0.1.5,0.176ct","14","7.1*5.4,1,1.2",53266,60482,70796,37273,18531,2916,1762,60482
"the-lyric-solitaire","The Lyric Solitaire",1.862,2.0825,2.45,"round","1","1","1ct","12","6.5",43055,48529,57554,28350,16215,2551,1413,48529
"the-classic-whisper-solitaire","The classic whisper Solitaire",1.292,1.445,1.7,"round","1","0.5","0.5ct","7","5",21471,25921,32298,11513,11251,2402,755,25921
"the-legacy-square-ring","The Legacy Square Ring",1.786,1.9975,2.35,"Princess","1","1","1ct","8","5.54*5.54",43777,49928,57685,29600,15553,3321,1454,49928
"the-heirloom-meridian-ring","The Heirloom Meridian Ring",2.66,2.975,3.5,"round, round, round","1, 4, 44","0.46, 0.005, 0.008","0.46,0.02,0.352ct","13","4.7,1,1.2",43376,52395,65288,24060,23164,3644,1526,52395
"the-eternal-embrace-ring","The Eternal Embrace Ring",1.6416,1.836,2.16,"Round, Round","2, 10","0.006, 0.008","0.012, 0.08ct","14","1.2, 1.1",17967,23621,30751,5585,14296,3052,688,23621
"the-crescent-beam-ring","The Crescent Beam Ring",0.95,1.0625,1.25,"Round","15","0.008","0.12ct","14","1.2",12814,16086,20775,5578,8273,1766,469,16086
"the-stella-bloom-ring","The Stella Bloom Ring",1.482,1.6575,1.95,"Round, Round","2, 12","0.008, 0.01","0.016, 0.12ct","14","1.2, 1.3",16628,21732,29047,5437,12906,2756,633,21732
"the-duet-sweep-ring","The Duet Sweep Ring",2.09,2.3375,2.75,"Round, Round, Round","6, 31, 1","0.015, 0.018, 0.03","0.09, 0.54, 0.03ct","14","1.5, 1.6, 1.9",31321,38408,48538,16225,18201,2863,1119,38408
"the-velocity-arc","The Velocity Arc",1.52,1.7,2,"Round","32","0.005","0.16ct","14","1",19231,24466,31067,7690,13237,2826,713,24466
